,hour,occupancy
273,2016-02-12 09:00:00,1572.0
274,2016-02-12 10:00:00,1597.0
275,2016-02-12 11:00:00,1597.0
276,2016-02-12 12:00:00,1495.0
277,2016-02-12 13:00:00,1433.0
278,2016-02-12 14:00:00,1351.0
279,2016-02-12 15:00:00,1199.0
280,2016-02-12 16:00:00,932.0
281,2016-02-12 17:00:00,556.0
282,2016-02-12 18:00:00,258.0
283,2016-02-12 19:00:00,133.0
284,2016-02-12 20:00:00,89.0
285,2016-02-12 21:00:00,73.0
286,2016-02-12 22:00:00,56.0
287,2016-02-12 23:00:00,40.0
288,2016-02-13 00:00:00,34.0
289,2016-02-13 01:00:00,33.0
290,2016-02-13 02:00:00,33.0
291,2016-02-13 03:00:00,31.0
292,2016-02-13 04:00:00,31.0
293,2016-02-13 05:00:00,33.0
294,2016-02-13 06:00:00,38.0
295,2016-02-13 07:00:00,45.0
296,2016-02-13 08:00:00,55.0
297,2016-02-13 09:00:00,70.0
298,2016-02-13 10:00:00,84.0
299,2016-02-13 11:00:00,86.0
300,2016-02-13 12:00:00,85.0
301,2016-02-13 13:00:00,81.0
302,2016-02-13 14:00:00,72.0
303,2016-02-13 15:00:00,67.0
304,2016-02-13 16:00:00,63.0
305,2016-02-13 17:00:00,55.0
306,2016-02-13 18:00:00,48.0
307,2016-02-13 19:00:00,41.0
308,2016-02-13 20:00:00,38.0
309,2016-02-13 21:00:00,33.0
310,2016-02-13 22:00:00,32.0
311,2016-02-13 23:00:00,30.0
312,2016-02-14 00:00:00,30.0
313,2016-02-14 01:00:00,28.0
314,2016-02-14 02:00:00,28.0
315,2016-02-14 03:00:00,28.0
316,2016-02-14 04:00:00,29.0
317,2016-02-14 05:00:00,29.0
318,2016-02-14 06:00:00,41.0
319,2016-02-14 07:00:00,112.0
320,2016-02-14 08:00:00,134.0
321,2016-02-14 09:00:00,148.0
322,2016-02-14 10:00:00,149.0
323,2016-02-14 11:00:00,146.0
324,2016-02-14 12:00:00,120.0
325,2016-02-14 13:00:00,80.0
326,2016-02-14 14:00:00,67.0
327,2016-02-14 15:00:00,63.0
328,2016-02-14 16:00:00,60.0
329,2016-02-14 17:00:00,57.0
330,2016-02-14 18:00:00,50.0
331,2016-02-14 19:00:00,45.0
332,2016-02-14 20:00:00,38.0
333,2016-02-14 21:00:00,36.0
334,2016-02-14 22:00:00,35.0
335,2016-02-14 23:00:00,32.0
336,2016-02-15 00:00:00,32.0
337,2016-02-15 01:00:00,31.0
338,2016-02-15 02:00:00,29.0
339,2016-02-15 03:00:00,29.0
340,2016-02-15 04:00:00,52.0
341,2016-02-15 05:00:00,217.0
342,2016-02-15 06:00:00,762.0
343,2016-02-15 07:00:00,1459.0
344,2016-02-15 08:00:00,1972.0
345,2016-02-15 09:00:00,2116.0
346,2016-02-15 10:00:00,2141.0
347,2016-02-15 11:00:00,2149.0
348,2016-02-15 12:00:00,2130.0
349,2016-02-15 13:00:00,2149.0
350,2016-02-15 14:00:00,2122.0
351,2016-02-15 15:00:00,2072.0
352,2016-02-15 16:00:00,1870.0
353,2016-02-15 17:00:00,1265.0
354,2016-02-15 18:00:00,625.0
355,2016-02-15 19:00:00,259.0
356,2016-02-15 20:00:00,132.0
357,2016-02-15 21:00:00,92.0
358,2016-02-15 22:00:00,74.0
359,2016-02-15 23:00:00,52.0
360,2016-02-16 00:00:00,43.0
361,2016-02-16 01:00:00,40.0
362,2016-02-16 02:00:00,38.0
363,2016-02-16 03:00:00,35.0
364,2016-02-16 04:00:00,62.0
365,2016-02-16 05:00:00,236.0
366,2016-02-16 06:00:00,817.0
367,2016-02-16 07:00:00,1523.0
368,2016-02-16 08:00:00,2044.0
369,2016-02-16 09:00:00,2188.0
370,2016-02-16 10:00:00,2222.0
371,2016-02-16 11:00:00,2225.0
372,2016-02-16 12:00:00,2184.0
373,2016-02-16 13:00:00,2205.0
374,2016-02-16 14:00:00,2172.0
375,2016-02-16 15:00:00,2118.0
376,2016-02-16 16:00:00,1907.0
377,2016-02-16 17:00:00,1287.0
378,2016-02-16 18:00:00,623.0
379,2016-02-16 19:00:00,276.0
380,2016-02-16 20:00:00,145.0
381,2016-02-16 21:00:00,101.0
382,2016-02-16 22:00:00,76.0
383,2016-02-16 23:00:00,54.0
384,2016-02-17 00:00:00,45.0
385,2016-02-17 01:00:00,41.0
386,2016-02-17 02:00:00,39.0
387,2016-02-17 03:00:00,38.0
388,2016-02-17 04:00:00,66.0
389,2016-02-17 05:00:00,230.0
390,2016-02-17 06:00:00,772.0
391,2016-02-17 07:00:00,1469.0
392,2016-02-17 08:00:00,2014.0
393,2016-02-17 09:00:00,2184.0
394,2016-02-17 10:00:00,2219.0
395,2016-02-17 11:00:00,2228.0
396,2016-02-17 12:00:00,2190.0
397,2016-02-17 13:00:00,2221.0
398,2016-02-17 14:00:00,2176.0
399,2016-02-17 15:00:00,2109.0
400,2016-02-17 16:00:00,1893.0
401,2016-02-17 17:00:00,1288.0
402,2016-02-17 18:00:00,647.0
403,2016-02-17 19:00:00,295.0
404,2016-02-17 20:00:00,173.0
405,2016-02-17 21:00:00,120.0
406,2016-02-17 22:00:00,86.0
407,2016-02-17 23:00:00,56.0
408,2016-02-18 00:00:00,45.0
409,2016-02-18 01:00:00,43.0
410,2016-02-18 02:00:00,43.0
411,2016-02-18 03:00:00,40.0
412,2016-02-18 04:00:00,58.0
413,2016-02-18 05:00:00,225.0
414,2016-02-18 06:00:00,756.0
415,2016-02-18 07:00:00,1451.0
416,2016-02-18 08:00:00,1973.0
417,2016-02-18 09:00:00,2133.0
418,2016-02-18 10:00:00,2157.0
419,2016-02-18 11:00:00,2169.0
420,2016-02-18 12:00:00,2143.0
421,2016-02-18 13:00:00,2150.0
422,2016-02-18 14:00:00,2116.0
423,2016-02-18 15:00:00,2031.0
424,2016-02-18 16:00:00,1822.0
425,2016-02-18 17:00:00,1206.0
426,2016-02-18 18:00:00,602.0
427,2016-02-18 19:00:00,266.0
428,2016-02-18 20:00:00,143.0
429,2016-02-18 21:00:00,106.0
430,2016-02-18 22:00:00,86.0
431,2016-02-18 23:00:00,60.0
432,2016-02-19 00:00:00,48.0
433,2016-02-19 01:00:00,39.0
434,2016-02-19 02:00:00,37.0
435,2016-02-19 03:00:00,36.0
436,2016-02-19 04:00:00,54.0
437,2016-02-19 05:00:00,139.0
438,2016-02-19 06:00:00,445.0
439,2016-02-19 07:00:00,927.0
440,2016-02-19 08:00:00,1332.0
441,2016-02-19 09:00:00,1490.0
442,2016-02-19 10:00:00,1514.0
443,2016-02-19 11:00:00,1501.0
444,2016-02-19 12:00:00,1379.0
445,2016-02-19 13:00:00,1315.0
446,2016-02-19 14:00:00,1205.0
447,2016-02-19 15:00:00,1028.0
448,2016-02-19 16:00:00,738.0
449,2016-02-19 17:00:00,427.0
450,2016-02-19 18:00:00,183.0
451,2016-02-19 19:00:00,92.0
452,2016-02-19 20:00:00,65.0
453,2016-02-19 21:00:00,56.0
454,2016-02-19 22:00:00,46.0
455,2016-02-19 23:00:00,35.0
456,2016-02-20 00:00:00,29.0
457,2016-02-20 01:00:00,29.0
458,2016-02-20 02:00:00,30.0
459,2016-02-20 03:00:00,30.0
460,2016-02-20 04:00:00,31.0
461,2016-02-20 05:00:00,31.0
462,2016-02-20 06:00:00,37.0
463,2016-02-20 07:00:00,40.0
464,2016-02-20 08:00:00,49.0
465,2016-02-20 09:00:00,63.0
466,2016-02-20 10:00:00,68.0
467,2016-02-20 11:00:00,67.0
468,2016-02-20 12:00:00,62.0
469,2016-02-20 13:00:00,54.0
470,2016-02-20 14:00:00,51.0
471,2016-02-20 15:00:00,48.0
472,2016-02-20 16:00:00,48.0
473,2016-02-20 17:00:00,44.0
474,2016-02-20 18:00:00,37.0
475,2016-02-20 19:00:00,36.0
476,2016-02-20 20:00:00,33.0
477,2016-02-20 21:00:00,31.0
478,2016-02-20 22:00:00,29.0
479,2016-02-20 23:00:00,29.0
480,2016-02-21 00:00:00,28.0
481,2016-02-21 01:00:00,28.0
482,2016-02-21 02:00:00,28.0
483,2016-02-21 03:00:00,28.0
484,2016-02-21 04:00:00,29.0
485,2016-02-21 05:00:00,31.0
486,2016-02-21 06:00:00,57.0
487,2016-02-21 07:00:00,95.0
488,2016-02-21 08:00:00,108.0
489,2016-02-21 09:00:00,112.0
490,2016-02-21 10:00:00,112.0
491,2016-02-21 11:00:00,99.0
492,2016-02-21 12:00:00,81.0
493,2016-02-21 13:00:00,64.0
494,2016-02-21 14:00:00,56.0
495,2016-02-21 15:00:00,53.0
496,2016-02-21 16:00:00,52.0
497,2016-02-21 17:00:00,48.0
498,2016-02-21 18:00:00,37.0
499,2016-02-21 19:00:00,34.0
500,2016-02-21 20:00:00,31.0
501,2016-02-21 21:00:00,31.0
502,2016-02-21 22:00:00,30.0
503,2016-02-21 23:00:00,29.0
504,2016-02-22 00:00:00,29.0
505,2016-02-22 01:00:00,29.0
506,2016-02-22 02:00:00,28.0
507,2016-02-22 03:00:00,28.0
508,2016-02-22 04:00:00,45.0
509,2016-02-22 05:00:00,153.0
510,2016-02-22 06:00:00,640.0
511,2016-02-22 07:00:00,1239.0
512,2016-02-22 08:00:00,1552.0
513,2016-02-22 09:00:00,1643.0
514,2016-02-22 10:00:00,1666.0
515,2016-02-22 11:00:00,1678.0
516,2016-02-22 12:00:00,1661.0
517,2016-02-22 13:00:00,1667.0
518,2016-02-22 14:00:00,1654.0
519,2016-02-22 15:00:00,1602.0
520,2016-02-22 16:00:00,1447.0
521,2016-02-22 17:00:00,946.0
522,2016-02-22 18:00:00,459.0
523,2016-02-22 19:00:00,197.0
524,2016-02-22 20:00:00,106.0
525,2016-02-22 21:00:00,74.0
526,2016-02-22 22:00:00,58.0
527,2016-02-22 23:00:00,46.0
528,2016-02-23 00:00:00,36.0
529,2016-02-23 01:00:00,32.0
530,2016-02-23 02:00:00,31.0
531,2016-02-23 03:00:00,30.0
532,2016-02-23 04:00:00,60.0
533,2016-02-23 05:00:00,226.0
534,2016-02-23 06:00:00,783.0
535,2016-02-23 07:00:00,1523.0
536,2016-02-23 08:00:00,2064.0
537,2016-02-23 09:00:00,2204.0
538,2016-02-23 10:00:00,2204.0
539,2016-02-23 11:00:00,2210.0
540,2016-02-23 12:00:00,2176.0
541,2016-02-23 13:00:00,2189.0
542,2016-02-23 14:00:00,2174.0
543,2016-02-23 15:00:00,2124.0
544,2016-02-23 16:00:00,1895.0
545,2016-02-23 17:00:00,1300.0
546,2016-02-23 18:00:00,668.0
547,2016-02-23 19:00:00,279.0
548,2016-02-23 20:00:00,153.0
549,2016-02-23 21:00:00,105.0
550,2016-02-23 22:00:00,79.0
551,2016-02-23 23:00:00,60.0
552,2016-02-24 00:00:00,44.0
553,2016-02-24 01:00:00,42.0
554,2016-02-24 02:00:00,42.0
555,2016-02-24 03:00:00,41.0
556,2016-02-24 04:00:00,69.0
557,2016-02-24 05:00:00,240.0
558,2016-02-24 06:00:00,796.0
559,2016-02-24 07:00:00,1509.0
560,2016-02-24 08:00:00,2019.0
561,2016-02-24 09:00:00,2178.0
562,2016-02-24 10:00:00,2214.0
563,2016-02-24 11:00:00,2257.0
564,2016-02-24 12:00:00,2228.0
565,2016-02-24 13:00:00,2250.0
566,2016-02-24 14:00:00,2205.0
567,2016-02-24 15:00:00,2140.0
568,2016-02-24 16:00:00,1928.0
569,2016-02-24 17:00:00,1297.0
570,2016-02-24 18:00:00,641.0
571,2016-02-24 19:00:00,285.0
572,2016-02-24 20:00:00,160.0
573,2016-02-24 21:00:00,114.0
574,2016-02-24 22:00:00,82.0
575,2016-02-24 23:00:00,55.0
576,2016-02-25 00:00:00,44.0
577,2016-02-25 01:00:00,43.0
578,2016-02-25 02:00:00,39.0
579,2016-02-25 03:00:00,39.0
